Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete ;WORTTREFFER;GRAPHEMTREFFER;A;O;M
1;t087;T;0;0;f;percent correct;0,0;10,0;0,0;0,0;NA
1;r095;R;0;1;m;percent correct;0,0;10,0;0,0;0,0;NA
1;t006;T;0;1;m;percent correct;0,0;38,0;27,0;0,0;NA
1;t051;T;1;0;f;percent correct;21,0;64,0;67,0;0,0;NA
1;t102;T;1;1;f;percent correct;14,0;59,0;73,0;0,0;NA
1;t068;T;0;1;f;percent correct;29,0;67,0;87,0;0,0;NA
1;t114;T;0;1;f;percent correct;0,0;56,0;33,0;10,0;NA
1;r023;R;0;0;m;percent correct;21,0;62,0;73,0;10,0;NA
1;t088;T;1;0;f;percent correct;21,0;57,0;80,0;10,0;NA
1;r028;R;1;0;f;percent correct;21,0;64,0;93,0;10,0;NA
1;t089;T;1;0;f;percent correct;36,0;72,0;93,0;10,0;NA
1;r059;R;1;0;m;percent correct;50,0;77,0;93,0;10,0;NA
1;t049;T;0;0;m;percent correct;43,0;79,0;93,0;10,0;NA
1;t090;T;1;0;m;percent correct;36,0;70,0;100,0;10,0;NA
1;r035;R;0;1;m;percent correct;29,0;77,0;100,0;10,0;NA
1;r061;R;0;0;m;percent correct;7,0;46,0;33,0;20,0;NA
1;r079;R;1;0;m;percent correct;0,0;49,0;47,0;20,0;NA
1;t098;T;1;0;m;percent correct;21,0;61,0;73,0;20,0;NA
1;t075;T;1;1;f;percent correct;43,0;72,0;87,0;20,0;NA
1;r062;R;0;0;m;percent correct;29,0;77,0;87,0;20,0;NA
1;r027;R;1;0;m;percent correct;36,0;79,0;87,0;20,0;NA
1;r026;R;1;1;f;percent correct;43,0;82,0;93,0;20,0;NA
1;r051;R;0;0;m;percent correct;43,0;70,0;100,0;20,0;NA
1;r092;R;1;0;f;percent correct;43,0;75,0;100,0;20,0;NA
1;r009;R;1;1;f;percent correct;43,0;77,0;100,0;20,0;NA
1;t074;T;1;0;m;percent correct;50,0;79,0;87,0;30,0;NA
1;t063;T;1;0;f;percent correct;43,0;75,0;93,0;30,0;NA
1;t059;T;1;1;m;percent correct;57,0;80,0;93,0;30,0;NA
1;r024;R;1;0;f;percent correct;50,0;82,0;93,0;30,0;NA
1;r049;R;1;1;f;percent correct;43,0;84,0;100,0;30,0;NA
1;r055;R;0;0;m;percent correct;43,0;84,0;100,0;30,0;NA
1;t018;T;1;0;f;percent correct;50,0;85,0;100,0;30,0;NA
1;t061;T;0;1;f;percent correct;50,0;84,0;100,0;40,0;NA
1;r066;R;1;1;f;percent correct;57,0;85,0;93,0;50,0;NA
1;r103;R;0;1;m;percent correct;50,0;84,0;100,0;50,0;NA
1;r042;R;1;1;f;percent correct;71,0;90,0;100,0;50,0;NA
1;r063;R;0;0;f;percent correct;50,0;87,0;93,0;60,0;NA
1;r032;R;1;1;f;percent correct;79,0;90,0;100,0;80,0;NA
2;r061;R;0;0;m;percent correct;3,0;45,0;15,0;0,0;0,0
2;r028;R;1;0;f;percent correct;17,0;68,0;55,0;7,0;0,0
