Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete;WORTTREFFER;GRAPHEMTREFFER;A;O;M;UEO;GF;OZ
1;r009;R;1;1;f;PR;37;47;92;43;NA;0,6;1;NA
1;r024;R;1;0;f;PR;55;66;75;61;NA;57;2,1;NA
1;r027;R;1;0;m;PR;23;53;59;43;NA;57;0,4;NA
1;r032;R;1;1;f;PR;93;93;92;98;NA;8;27;NA
1;r035;R;0;1;m;PR;14;47;92;23;NA;2,1;0,4;NA
1;r042;R;1;1;f;PR;88;93;92;83;NA;57;3,6;NA
1;r049;R;1;1;f;PR;37;72;92;61;NA;57;2,1;NA
1;r051;R;0;0;m;PR;37;27;92;43;NA;8;3,6;NA
1;r055;R;0;0;m;PR;37;72;92;61;NA;57;1;NA
1;r059;R;1;0;m;PR;55;47;75;23;NA;57;1;NA
1;r061;R;0;0;m;PR;2,6;6;6;43;NA;57;1;NA
1;r062;R;0;0;m;PR;14;47;59;43;NA;2,1;0,7;NA
1;r063;R;0;0;f;PR;55;84;75;90;NA;57;1;NA
1;r066;R;1;1;f;PR;70;78;75;83;NA;57;3,6;NA
1;r079;R;1;0;m;PR;0,8;7;10;43;NA;8;0,4;NA
1;r092;R;1;0;f;PR;37;42;92;43;NA;2,1;2,1;NA
1;r095;R;0;1;m;PR;0,8;0,4;0,6;7;NA;57;69;NA
1;r103;R;0;1;m;PR;55;72;92;83;NA;8;0,4;NA
1;r023;R;0;0;m;PR;8;14;32;23;NA;57;1;NA
1;r026;R;1;1;f;PR;37;66;75;43;NA;57;0,4;NA
1;r028;R;1;0;f;PR;8;16;75;23;NA;57;1;NA
2;r061;R;0;0;m;PR;0,3;0,4;0,4;1,4;3,9;71;NA;58
2;r062;R;0;0;m;PR;13;26;59;17;3,9;0,3;NA;10
2;r028;R;1;0;f;PR;2,6;4,1;9;5;3,9;0,3;NA;58
2;r095;R;0;1;m;PR;1,8;1,2;4;1,4;13;0,5;NA;58
2;r009;R;1;1;f;PR;21;32;59;49;24;0,3;NA;58
2;r027;R;1;0;m;PR;21;43;34;25;24;0,3;NA;1
2;r079;R;1;0;m;PR;57;49;92;69;24;0,8;NA;58
2;r103;R;0;1;m;PR;21;29;78;11;24;0,3;NA;58
2;r049;R;1;1;f;PR;30;40;59;42;48;0,8;NA;58
2;r059;R;1;0;m;PR;64;68;78;75;48;0,8;NA;58
2;r092;R;1;0;f;PR;41;65;92;42;48;8;NA;58
2;r051;R;0;0;m;PR;46;43;45;81;60;0,8;NA;10
2;r023;R;0;0;m;PR;21;19;45;11;60;0,5;NA;1,6
2;r026;R;1;1;f;PR;30;40;59;42;60;0,3;NA;58
2;r024;R;1;0;f;PR;57;74;92;69;70;0,8;NA;58
2;r035;R;0;1;m;PR;41;56;45;69;70;0,8;NA;10
2;r055;R;0;0;m;PR;84;91;78;98;79;16;NA;58
2;r063;R;1;0;f;PR;64;74;92;81;79;0,5;NA;10
2;r066;R;1;1;f;PR;76;84;59;86;79;2,9;NA;58
2;r032;R;1;1;f;PR;84;89;92;93;87;8;NA;58
2;r042;R;1;1;f;PR;95;97;78;93;99;71;NA;10
3;r061;R;0;0;m;PR;0,3;0,3;0,3;0,6;0,6;0,3;NA;25
3;r028;R;1;0;f;PR;7;6;14;10;0,6;2,8;NA;2,5
3;r095;R;0;1;m;PR;0,4;0,9;4;0,6;4,9;0,4;NA;9
3;r009;R;1;1;f;PR;21;19;14;16;10;0,4;NA;68
3;r049;R;1;1;f;PR;34;44;31;77;10;2,8;NA;9
3;r059;R;1;0;m;PR;21;26;52;43;10;6;NA;0,7
3;r062;R;0;0;m;PR;9;11;14;4;10;12;NA;68
3;r051;R;0;0;m;PR;12;11;21;13;36;54;NA;25
3;r055;R;0;0;m;PR;9;9;21;64;36;0,4;NA;68
3;r063;R;1;0;f;PR;65;65;52;77;36;18;NA;25
3;r079;R;1;0;m;PR;38;52;82;64;36;12;NA;25
3;r023;R;0;0;m;PR;11;11;4;13;36;1;NA;2,5
3;r024;R;1;0;f;PR;48;62;52;77;48;18;NA;68
3;r092;R;1;0;f;PR;21;33;82;43;48;2,8;NA;68
3;r103;R;0;1;m;PR;28;41;52;64;48;12;NA;68
3;r026;R;1;1;f;PR;9;11;31;13;48;18;NA;2,5
3;r027;R;1;0;m;PR;48;44;31;43;60;18;NA;25
3;r035;R;0;1;m;PR;31;2,6;82;54;60;54;NA;68
3;r042;R;1;1;f;PR;65;75;82;77;76;54;NA;68
3;r066;R;1;1;f;PR;65;75;82;64;76;12;NA;68
3;r032;R;1;1;f;PR;71;75;82;54;93;84;NA;68
1;t006;T;0;1;m;PR;0,8;3,8;4,5;7;NA;57;6;NA
1;t018;T;1;0;f;PR;55;78;92;61;NA;57;1;NA
1;t049;T;0;0;m;PR;37;53;75;23;NA;57;0,4;NA
1;t051;T;1;0;f;PR;8;16;24;7;NA;57;2,1;NA
1;t059;T;1;1;m;PR;70;60;75;61;NA;57;2,1;NA
1;t061;T;0;1;f;PR;55;72;92;73;NA;8;2,1;NA
1;t063;T;1;0;f;PR;37;42;75;61;NA;2,1;3,6;NA
1;t068;T;0;1;f;PR;14;21;59;7;NA;2,1;1;NA
1;t074;T;1;0;m;PR;55;53;59;61;NA;57;1;NA
1;t075;T;1;1;f;PR;37;31;59;43;NA;0,6;2,1;NA
1;t087;T;0;0;f;PR;0,8;0,4;0,6;7;NA;57;69;NA
1;t088;T;1;0;f;PR;8;11;45;23;NA;0,6;2,1;NA
1;t089;T;1;0;f;PR;23;31;75;23;NA;57;0,4;NA
1;t090;T;1;0;m;PR;23;27;92;23;NA;2,1;0,4;NA
1;t098;T;1;0;m;PR;8;13;32;43;NA;2,1;1;NA
1;t102;T;1;1;f;PR;4,9;12;32;7;NA;2,1;0,4;NA
1;t114;T;0;1;f;PR;0,8;10;6;23;NA;2,1;1;NA
2;t088;T;1;0;f;PR;21;21;20;25;3,9;0,8;NA;58
