Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete;WORTTREFFER;GRAPHEMTREFFER;A;O;M;;;;;;;
1;r095;R;0;1;m;T-wert;26,00;23,00;25,00;35,00;NA;;;;;;;
1;t087;T;0;0;f;T-wert;26,00;23,00;25,00;35,00;NA;;;;;;;
1;t006;T;0;1;m;T-wert;26,00;32,00;33,00;35,00;NA;;;;;;;
1;r061;R;0;0;m;T-wert;31,00;34,00;34,00;48,00;NA;;;;;;;
1;r079;R;1;0;m;T-wert;26,00;35,00;37,00;48,00;NA;;;;;;;
1;t088;T;1;0;f;T-wert;36,00;37,00;49,00;43,00;NA;;;;;;;
1;t114;T;0;1;f;T-wert;26,00;37,00;34,00;43,00;NA;;;;;;;
1;t102;T;1;1;f;T-wert;33,00;38,00;45,00;35,00;NA;;;;;;;
1;r023;R;0;0;m;T-wert;36,00;39,00;45,00;43,00;NA;;;;;;;
1;t098;T;1;0;m;T-wert;36,00;39,00;45,00;48,00;NA;;;;;;;
1;r028;R;1;0;f;T-wert;36,00;40,00;57,00;43,00;NA;;;;;;;
1;t051;T;1;0;f;T-wert;36,00;40,00;43,00;35,00;NA;;;;;;;
1;t068;T;0;1;f;T-wert;39,00;42,00;52,00;35,00;NA;;;;;;;
1;r051;R;0;0;m;T-wert;47,00;44,00;64,00;48,00;NA;;;;;;;
1;t090;T;1;0;m;T-wert;42,00;44,00;64,00;43,00;NA;;;;;;;
1;t075;T;1;1;f;T-wert;47,00;45,00;52,00;48,00;NA;;;;;;;
1;t089;T;1;0;f;T-wert;42,00;45,00;57,00;43,00;NA;;;;;;;
1;r059;R;1;0;m;T-wert;51,00;48,00;57,00;43,00;NA;;;;;;;
1;r092;R;1;0;f;T-wert;47,00;48,00;64,00;48,00;NA;;;;;;;
1;t063;T;1;0;f;T-wert;47,00;48,00;57,00;53,00;NA;;;;;;;
1;r009;R;1;1;f;T-wert;47,00;49,00;64,00;48,00;NA;;;;;;;
1;r035;R;0;1;m;T-wert;39,00;49,00;64,00;43,00;NA;;;;;;;
1;r062;R;0;0;m;T-wert;39,00;49,00;52,00;48,00;NA;;;;;;;
1;r027;R;1;0;m;T-wert;42,00;51,00;52,00;48,00;NA;;;;;;;
